country,AABB,RR,AABBRR
China,1,12,44
United States of America,0,4,23
Mexico,0,2,18
Australia,0,1,1
Canada,0,0,8
Ukraine,0,8,3
Japan,0,2,1
Spain,1,1,1
Russia,4,8,0
Turkey,18,8,0
Poland,0,7,0
Armenia,1,6,0
Azerbaijan,0,4,0
Hungary,7,3,0
Sweden,0,3,0
Finland,0,2,0
South Africa,0,2,0
Afghanistan,0,2,0
Italy,0,2,0
North Macedonia,2,1,0
Brazil,0,1,0
Iran,16,1,0
Austria,0,1,0
France,2,1,0
Germany,0,1,0
Portugal,3,1,0
United Kingdom,2,1,0
South Korea,0,1,0
Montenegro,0,1,0
Bosnia and Herzegovina,0,1,0
Tajikistan,0,1,0
Chile,0,1,0
Israel,13,1,0
Morocco,0,1,0
Netherlands,0,1,0
Argentina,0,1,0
Bulgaria,0,1,0
Ireland,0,1,0
Algeria,0,1,0
Kazakhstan,1,1,0
Turkmenistan,0,1,0
Romania,0,1,0
Czechia,0,1,0
Georgia,6,1,0
Ethiopia,18,0,0
Egypt,1,0,0
India,1,0,0
Syria,6,0,0
Lebanon,4,0,0
Oman,2,0,0
Serbia,2,0,0
